german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6,s7,t7
mitteilen,"to inform, communicate","mitteilen, teilt mit, teilte mit, hat mitgeteilt",Den Prüfungstermin teilen wir Ihnen noch mit.,We will inform you of the examination date.,,,,,,,,,,,,
möchten,"to want, wish","möchten, möchte, mochte, hat gemocht",Möchtest du auch einen Kaffee?,Would you like a coffee too?,Im Sommer möchten wir gern ans Meer fahren.,We would like to go to the sea in the summer.,,,,,,,,,,
mögen,to like,"mögen, mag, mochte, hat gemocht",Ich mag keinen Reis.,I don't like rice.,Möchtest du noch ein Stück Kuchen?,Would you like another piece of cake?,Ich möchte gern Herrn Schmidt sprechen.,I would like to speak to Mr. Schmidt.,"Herr Müller, Sie möchten bitte sofort zum Chef kommen.","Mr. Müller, please see the boss immediately.",,,,,,
müssen,"to have to, must","müssen, muss, musste, hat gemusst (hat müssen als Modalverb)",Wie lange müssen Sie arbeiten?,How long do you have to work?,Sie müssen die Miete pünktlich überweisen.,You must pay the rent on time.,Ich muss jeden Tag von 8 bis 18 Uhr arbeiten.,I have to work from 8 a.m. to 6 p.m. every day.,Du musst mich nicht abholen. Nur wenn du willst.,You don't have to pick me up. Only if you want to.,,,,,,
nachdenken,"to think about, ponder","nachdenken, denkt nach, dachte nach, hat nachgedacht","Ich weiß nicht, was ich machen soll. Ich muss nachdenken.",I don't know what to do. I have to think.,,,,,,,,,,,,
nachschlagen,to look up,"nachschlagen, schlägt nach, schlug nach, hat nachgeschlagen",Ich kenne das Wort nicht. Das musst du im Wörterbuch nachschlagen.,I don't know the word. You'll have to look it up in the dictionary.,,,,,,,,,,,,
nähen,to sew,"nähen, näht, nähte, hat genäht",Meine Mutter näht ihre Kleider selbst.,My mother sews her own clothes.,Wir müssen die Wunde nähen.,We have to stitch the wound.,,,,,,,,,,
sich nähern,to approach,"sich nähern, nähert sich, näherte sich, hat sich genähert",Er nähert sich dem Unfallort ganz langsam.,He approaches the scene of the accident very slowly.,,,,,,,,,,,,
nehmen,to take,"nehmen, nimmt, nahm, hat genommen",Was möchten Sie? – Ich nehme einen Salat.,What would you like? - I'll have a salad.,Nehmen Sie die Tabletten vor dem Essen!,Take the tablets before eating!,Wer hat die Flasche aus dem Kühlschrank genommen?,Who took the bottle out of the fridge?,Sollen wir ein Taxi nehmen?,Should we take a cab?,In diesem Jahr kann ich meinen Urlaub erst im Oktober nehmen.,This year I can only take my vacation in October.,,,,
nennen,to call,"nennen, nennt, nannte, hat genannt","Mein Freund heißt Alexander, aber alle nennen ihn Alex.","My boyfriend's name is Alexander, but everyone calls him Alex.",Wie nennt man dieses Gerät?,What is this device called?,,,,,,,,,,
nutzen,to use,"nutzen, nutzt, nutzte, hat genutzt",Ich möchte das schöne Wetter nutzen und spazieren gehen.,I want to make the most of the nice weather and go for a walk.,,,,,,,,,,,,
nützen,"to utilize, be of use","nützen, nützt, nützte, hat genützt",Ich habe jeden Tag eine Tablette genommen. Aber es hat nichts genützt.,I took one tablet every day. But it didn't help.,,,,,,,,,,,,
veröffentlichen,to publish,"veröffentlichen, veröffentlicht, veröffentlichte, hat veröffentlicht",Das Buch wurde gestern veröffentlicht.,The book was published yesterday.,,,,,,,,,,,,
öffnen,to open,"öffnen, öffnet, öffnete, hat geöffnet",Wann öffnen die Geschäfte?,When do the stores open?,Kannst du bitte das Fenster öffnen?,Can you please open the window?,Kannst Du mir helfen? Ich kann die Dose nicht öffnen.,Can you help me? I can't open the can.,Du öffnest die Datei mit einem Doppelklick.,Double-click the file to open it.,Der Laden ist samstags bis 16 Uhr geöffnet.,The store is open on Saturdays until 4 pm.,,,,
operieren,to operate,"operieren, operiert, operierte, hat operiert",Wir müssen das Knie sofort operieren.,We have to operate on the knee immediately.,,,,,,,,,,,,
ordnen,"to arrange, order, organize","ordnen, ordnet, ordnete, hat geordnet",Letztes Wochenende habe ich meine Papiere geordnet.,Last weekend I organized my papers.,,,,,,,,,,,,
organisieren,to organize,"organisieren, organisiert, organisierte, hat organisiert",Für den nächsten Sommerurlaub habe ich schon alles organisiert.,I have already organized everything for my next summer vacation.,,,,,,,,,,,,
packen,to pack,"packen, packt, packte, hat gepackt",Ich muss noch meinen Koffer packen.,I still have to pack my suitcase.,,,,,,,,,,,,
passen,to fit,"passen, passt, passte, hat gepasst",Der Pullover passt mir nicht mehr.,The sweater no longer fits me.,Wann soll ich kommen? Passt es Ihnen morgen Abend?,When should I come? Is tomorrow evening convenient for you?,Passt das T-Shirt zu diesem Rock?,Does the T-shirt go with this skirt?,,,,,,,,
passieren,to happen,"passieren, passiert, passierte, ist passiert",Entschuldigung! – Kein Problem. Es ist nichts passiert.,Excuse me! - No problem. Nothing has happened.,Wie ist der Unfall passiert?,How did the accident happen?,Man hat mir die Brieftasche gestohlen. – Das ist mir auch schon passiert.,My wallet has been stolen. - That's happened to me too.,,,,,,,,
pflanzen,to plant,"pflanzen, pflanzt, pflanzte, hat gepflanzt",Lass uns einen Baum pflanzen!,Let's plant a tree!,,,,,,,,,,,,
pflegen,"to care for, look after","pflegen, pflegt, pflegte, hat gepflegt",Meine Mutter ist sehr krank. Ich muss sie pflegen.,My mother is very ill. I have to look after her.,,,,,,,,,,,,
planen,to plan,"planen, plant, plante, hat geplant","Wir haben geplant, diesmal im Urlaub nach Österreich zu fahren.",We have planned to go to Austria on vacation this time.,Unser Familientreffen ist für Juni geplant.,Our family reunion is planned for June.,,,,,,,,,,
probieren,to try,"probieren, probiert, probierte, hat probiert",Haben Sie dieses Waschmittel schon einmal probiert?,Have you ever tried this detergent?,"Ich habe probiert, die Zeitung zu lesen, aber es war zu schwer.","I tried to read the newspaper, but it was too difficult.",Darf ich die Schuhe anprobieren?,Can I try on the shoes?,,,,,,,,
produzieren,to produce,"produzieren, produziert, produzierte, hat produziert",Unsere Firma produziert Feuerzeuge.,Our company produces lighters.,,,,,,,,,,,,
protestieren,to protest,"protestieren, protestiert, protestierte, hat protestiert",Wir protestieren gegen den Bau der Autobahn.,We are protesting against the construction of the highway.,,,,,,,,,,,,
prüfen,"to check, examine","prüfen, prüft, prüfte, hat geprüft","Bitte prüfen Sie sofort, ob die Rechnung stimmt.",Please check immediately whether the invoice is correct.,,,,,,,,,,,,
putzen,to clean,"putzen, putzt, putzte, hat geputzt",Ich muss heute noch die Wohnung putzen.,I have to clean the apartment today.,Hast du dir schon die Zähne geputzt?,Have you brushed your teeth yet?,,,,,,,,,,
(sich) rasieren,to shave,"(sich) rasieren, rasiert, rasierte, hat rasiert",Dein Bart ist aber lang! Du solltest dich mal wieder rasieren.,Your beard is long! You should shave it again.,,,,,,,,,,,,
raten,"to guess, advise","raten, rät, riet, hat geraten",Ich möchte billig Urlaub machen. Was raten Sie mir?,I would like to go on a cheap vacation. What advice would you give me?,"Rate mal, wen ich heute getroffen habe! Deinen Lehrer.",Guess who I met today! Your teacher.,,,,,,,,,,
rauchen,to smoke,"rauchen, raucht, rauchte, hat geraucht",Hier ist das Rauchen verboten!,Smoking is prohibited here!,"Stört es Sie, wenn ich rauche?",Do you mind if I smoke?,,,,,,,,,,
reagieren,to react,"reagieren, reagiert, reagierte, hat reagiert","Ich habe dem Vermieter geschrieben, aber er hat noch nicht reagiert.","I have written to the landlord, but he has not yet responded.",,,,,,,,,,,,
realisieren,to realize,"realisieren, realisiert, realisierte, hat realisiert",Diese Pläne sind nicht zu realisieren.,These plans cannot be realized.,"Ich habe nicht realisiert, dass die Zeit schon um ist.",I didn't realize that time was already up.,,,,,,,,,,
rechnen,to calculate,"rechnen, rechnet, rechnete, hat gerechnet",Meine Tochter kann gut rechnen.,My daughter is good at math.,Im/In Rechnen hat sie eine Eins.,She has an A in arithmetic.,Mit solchen Schwierigkeiten hatten wir nicht gerechnet.,We had not expected such difficulties.,,,,,,,,
reden,to talk,"reden, redet, redete, hat geredet",Worüber habt ihr gestern geredet?,What did you talk about yesterday?,,,,,,,,,,,,
reduzieren,to reduce,"reduzieren, reduziert, reduzierte, hat reduziert",Wir haben jetzt unsere Preise reduziert.,We have now reduced our prices.,Ist dieser Pullover auch reduziert?,Is this sweater also reduced?,,,,,,,,,,
regeln,to regulate,"regeln, regelt, regelte, hat geregelt",Die Ampel ist kaputt. Ein Polizist regelt den Verkehr.,The traffic light is broken. A policeman is directing the traffic.,,,,,,,,,,,,
regnen,to rain,"regnen, es regnet, es regnete, es hat geregnet",Es hat gestern den ganzen Tag geregnet.,It rained all day yesterday.,,,,,,,,,,,,
reichen,"to reach, suffice","reichen, reicht, reichte, hat gereicht",Ich nehme nur eine Suppe. Das reicht mir.,I only have one soup. That's enough for me.,"Wie lange reicht das Papier noch? Ich glaube, wir müssen neues bestellen.",How long will the paper last? I think we'll have to order more.,,,,,,,,,,
reinigen,to clean,"reinigen, reinigt, reinigte, hat gereinigt",Ich möchte diesen Anzug reinigen lassen.,I would like to have this suit cleaned.,,,,,,,,,,,,
reisen,to travel,"reisen, reist, reiste, ist gereist",Ich reise gern nach Spanien.,I love traveling to Spain.,,,,,,,,,,,,
reiten,to ride,"reiten, reitet, ritt, ist geritten",Möchtest du gerne reiten lernen?,Would you like to learn to ride?,,,,,,,,,,,,
rennen,to race,"rennen, rennt, rannte, ist gerannt","Ich bin sehr schnell gerannt, aber der Bus war schon weg.","I ran very fast, but the bus had already left.",,,,,,,,,,,,
reparieren,to repair,"reparieren, repariert, reparierte, hat repariert",Das Fahrrad kann man leider nicht mehr reparieren.,"Unfortunately, the bike can no longer be repaired.",,,,,,,,,,,,
reservieren,to reserve,"reservieren, reserviert, reservierte, hat reserviert",Dieser Tisch ist reserviert.,This table is reserved.,Bitte reservieren Sie mir ein Doppelzimmer.,Please reserve a double room for me.,,,,,,,,,,
retten,to rescue,"retten, rettet, rettete, hat gerettet",Der Arzt konnte das Kind noch retten.,The doctor was able to save the child.,,,,,,,,,,,,
riechen,to smell,"riechen, riecht, roch, hat gerochen nach",Dieses Parfüm riecht sehr gut.,This perfume smells very good.,Im ganzen Haus riecht es nach Farbe.,The whole house smells of paint.,Ich bin erkältet. Ich kann nichts riechen.,I have a cold. I can't smell anything.,,,,,,,,
rufen,to call (by shouting),"rufen, ruft, rief, hat gerufen","Ich habe die Kinder gerufen, aber sie haben mich nicht gehört.","I called the children, but they didn't hear me.",Wir haben sofort einen Arzt gerufen.,We called a doctor immediately.,,,,,,,,,,
sagen,to say,"sagen, sagt, sagte, hat gesagt",Entschuldigung! Was haben Sie gesagt?,Excuse me! What did you say?,"Können Sie mir bitte sagen, wo hier ein Geldautomat ist?",Can you please tell me where there is an ATM here?,Wie sagt man „sorry“ auf Deutsch?,"How do you say ""sorry"" in German?","Sag mal, wie geht’s dir denn?","Tell me, how are you?",,,,,,
sammeln,to collect,"sammeln, sammelt, sammelte, hat gesammelt",Mein Bruder sammelt Briefmarken.,My brother collects stamps.,Im Herbst sammeln wir im Wald Pilze.,"In the fall, we collect mushrooms in the forest.",,,,,,,,,,
schaden,"to damage, harm","schaden, schadet, schadete, hat geschadet",Ein kleines Glas Wein kann nicht schaden.,A small glass of wine can't hurt.,,,,,,,,,,,,
schaffen,"to create, manage, accomplish","schaffen, schafft, schaffte, hat geschafft","Kannst du mir helfen, die Party vorzubereiten? Ich schaffe das nicht allein.",Can you help me prepare the party? I can't do it alone.,"Wir schafften es, das Projekt nach Plan abzuschließen.",We managed to finish the project on schedule.,,,,,,,,,,
schalten,to switch,"schalten, schaltet, schaltete, hat geschaltet","Schalten Sie bitte das Licht aus, wenn Sie gehen.",Please switch off the light when you leave.,Kannst du bitte den Fernseher einschalten. Jetzt kommen gleich die Nachrichten.,Can you please turn on the TV. The news is about to come on.,Du musst jetzt in den ersten Gang schalten.,You must now shift into first gear.,,,,,,,,
schätzen,"to esimate, value","schätzen, schätzt, schätzte, hat geschätzt","Wie alt ist der Chef? – Ich weiß nicht, ich schätze, um die Fünfzig.","How old is the boss? - I don't know, I guess around fifty.",Ich schätze deine gute Arbeit.,I appreciate your good work.,,,,,,,,,,
schauen,"to look, watch","schauen, schaut, schaute, hat geschaut",Schau mal! Da vorne ist noch ein Platz frei.,Take a look! There's still a free seat up front.,,,,,,,,,,,,
sich scheiden lassen,to get a divorce,"sich scheiden lassen, lässt sich scheiden, ließ sich scheiden, hat sich scheiden lassen",Meine Nachbarn haben sich scheiden lassen.,My neighbors got divorced.,,,,,,,,,,,,
scheinen,"to seem, shine","scheinen, scheint, schien, hat geschienen",Gestern hat es geregnet. Heute scheint wieder die Sonne.,It rained yesterday. Today the sun is shining again.,Mein Kollege scheint krank zu sein. Er war heute nicht im Büro.,My colleague seems to be ill. He wasn't in the office today.,,,,,,,,,,
schenken,to give as a present,"schenken, schenkt, schenkte, hat geschenkt",Wir wollen dir zum Geburtstag etwas schenken.,We want to give you a birthday present.,,,,,,,,,,,,
schicken,to send,"schicken, schickt, schickte, hat geschickt",Ich habe meinen Freunden eine Einladung zur Hochzeit geschickt.,I sent my friends an invitation to the wedding.,Schick mir doch eine E-Mail.,Why don't you send me an e-mail?,Ich habe die Kinder einkaufen geschickt. Wir haben keine Milch mehr zu Hause.,I sent the children shopping. We have no more milk at home.,,,,,,,,
schieben,to push,"schieben, schiebt, schob, hat geschoben",Leider ist mein Fahrrad kaputtgegangen. Ich musste es nach Hause schieben.,"Unfortunately, my bike broke down. I had to push it home.",Wir können den Schrank links an die Wand schieben; dann haben wir mehr Platz.,We can push the cupboard to the left against the wall; then we have more space.,,,,,,,,,,
schießen,to shoot,"schießen, schießt, schoss, hat geschossen",Unsere Mannschaft hat ein Tor geschossen.,Our team scored a goal.,,,,,,,,,,,,
schimpfen,"to scold, rant","schimpfen, schimpft, schimpfte, hat geschimpft","Der Arzt hat mit mir geschimpft, weil ich zu wenig Sport mache.",The doctor scolded me for not doing enough sport.,Alle schimpfen über/auf das Wetter.,Everyone complains about the weather.,,,,,,,,,,
schlafen,to sleep,"schlafen, schläft, schlief, hat geschlafen",Haben Sie gut geschlafen?,Did you sleep well?,"Wenn Sie mal nach München kommen, können Sie bei uns schlafen.","If you ever come to Munich, you can sleep with us.",,,,,,,,,,
schlagen,to beat,"schlagen, schlägt, schlug, hat geschlagen",Wer hat den Weltmeister geschlagen?,Who beat the world champion?,Ich muss einen Nagel in die Wand schlagen. Wo ist der Hammer?,I have to hammer a nail into the wall. Where's the hammer?,Das Herz schlug mir bis zum Hals.,My heart was beating up to my neck.,,,,,,,,
schließen,to close,"schließen, schließt, schloss, hat geschlossen","Bitte, schließen Sie die Tür.",Please close the door.,Die Banken sind am Samstag geschlossen.,The banks are closed on Saturday.,Wir schließen um 20.00 Uhr.,We close at 20.00 hrs.,Wann können wir den Mietvertrag abschließen?,When can we conclude the rental agreement?,Ich hatte die Papiere in den Schreibtisch eingeschlossen.,I had locked the papers in the desk.,Du kannst die Datei schließen. Ich bin fertig.,You can close the file. I am finished.,Sie mussten die Firma leider schließen.,"Unfortunately, they had to close the company."
schmecken,to taste,"schmecken, schmeckt, schmeckte, hat geschmeckt",Hat es Ihnen geschmeckt?,Did you like it?,Die Suppe schmeckt nach Knoblauch.,The soup tastes of garlic.,,,,,,,,,,
schminken,to (wear) make up,"schminken, schminkt, schminkte, hat geschminkt",Du bist heute sehr schön geschminkt.,You're wearing beautiful make-up today.,,,,,,,,,,,,
verschmutzen,to pollute,"verschmutzen, verschmutzt, verschmutzte, hat verschmutzt",Die Fabrik verschmutzt den Fluss.,The factory pollutes the river.,,,,,,,,,,,,
schneien,to snow,"schneien, es schneit, es schneite, es hat geschneit",Heute Nacht hat es geschneit.,It snowed tonight.,,,,,,,,,,,,
(sich) schneiden,"to cut, intersect","(sich) schneiden, schneidet, schnitt, hat geschnitten",Das Messer schneidet nicht.,The knife does not cut.,Hast du ein Pflaster? Ich habe mich geschnitten.,Do you have a plaster? I've cut myself.,Wann lässt du deine Haare schneiden?,When do you get your hair cut?,,,,,,,,
schreiben,to write,"schreiben, schreibt, schrieb, hat geschrieben",Ich habe dir einen Brief geschrieben.,I have written you a letter.,Ich schreibe dir eine E-Mail.,I'll write you an e-mail.,Mein Kugelschreiber schreibt nicht mehr.,My ballpoint pen no longer writes.,,,,,,,,
schreien,to shout,"schreien, schreit, schrie, hat geschrien","Kinder, hört bitte auf, so laut zu schreien. – Ich muss arbeiten.","Children, please stop shouting so loudly. - I have to work.",Unser Baby hat heute Nacht viel geschrien.,Our baby cried a lot tonight.,,,,,,,,,,
schütteln,to shake,"schütteln, schüttelt, schüttelte, hat geschüttelt",Die Flasche muss man vor dem Öffnen schütteln.,The bottle must be shaken before opening.,,,,,,,,,,,,
schützen,to protect,"schützen, schützt, schützte, hat geschützt",Diese Impfung schützt vor Grippe.,This vaccination protects against influenza.,,,,,,,,,,,,
schweigen,to remain silent,"schweigen, schweigt, schwieg, hat geschwiegen","Sie sprach viel, aber ihr Mann schwieg den ganzen Abend lang.","She spoke a lot, but her husband remained silent the whole evening.",,,,,,,,,,,,
schwimmen,to swim,"schwimmen, schwimmt, schwamm, ist geschwommen",Ich gehe regelmäßig schwimmen.,I go swimming regularly.,Kannst du schwimmen?,Can you swim?,,,,,,,,,,
schwitzen,to sweat,"schwitzen, schwitzt, schwitzte, hat geschwitzt",Es war sehr heiß. Wir haben alle sehr geschwitzt.,It was very hot. We were all sweating profusely.,,,,,,,,,,,,
sehen,to see,"sehen, sieht, sah, hat gesehen",Ich sehe nicht gut. Ich brauche eine Brille.,I can't see well. I need glasses.,Ich habe einen schönen Film gesehen.,I saw a beautiful movie.,Darf ich mal Ihren Ausweis sehen?,May I see your ID?,Sieh mal! Es schneit.,Look! It's snowing.,"Ich komme gleich wieder, ich muss mal schnell nach dem Essen sehen.","I'll be right back, I have to check on the food.",Was machst du im Urlaub? – Ich weiß noch nicht. Mal sehen.,What are you doing on vacation? - I don't know yet. Let's see.,Du siehst deiner Mutter sehr ähnlich.,You look a lot like your mother.
sein,to be,"sein, ist, war, ist gewesen",Ich bin Mechaniker.,I am a mechanic.,Das Auto ist jetzt fünfzehn Jahre alt.,The car is now fifteen years old.,Der Termin beim Zahnarzt ist erst übermorgen.,The dentist's appointment is the day after tomorrow.,Um 11 Uhr ist Pause.,There is a break at 11 o'clock.,Herr Müller ist in seinem Zimmer.,Mr. Müller is in his room.,Das ist schwer zu verstehen.,That is difficult to understand.,Mir ist kalt.,I'm cold.
senden,to send,"senden, sendet, sendete/sandte, hat gesendet/gesandt",Bitte senden Sie uns die Unterlagen per E-Mail.,Please send us the documents by e-mail.,Können Sie uns die Post bitte nachsenden?,Can you please forward the mail to us?,,,,,,,,,,
(sich) setzen,to sit down,"(sich) setzen, setzt, setzte, hat gesetzt",Darf ich mich zu Ihnen setzen?,May I sit with you?,"Bitte setzen Sie sich, wohin Sie wollen!",Please sit wherever you like!,,,,,,,,,,
sichern,to secure,"sichern, sichert, sicherte, hat gesichert",Du musst immer alle Daten im Computer sichern.,You must always back up all data on the computer.,,,,,,,,,,,,
siegen,to win,"siegen, siegt, siegte, hat gesiegt",Die Mannschaft siegte mit 2:0.,The team won 2:0.,,,,,,,,,,,,
(sich) siezen,to be on first name terms,"(sich) siezen, siezt, siezte, hat gesiezt","Obwohl sie sich schon lange kennen, siezen sie sich.","Although they have known each other for a long time, they are on first-name terms.",,,,,,,,,,,,
singen,to sing,"singen, singt, sang, hat gesungen",Ich singe gern.,I like to sing.,"Ich kann heute nicht singen, ich bin erkältet.","I can't sing today, I have a cold.",,,,,,,,,,
sinken,to sink,"sinken, sinkt, sank, ist gesunken",Das Schiff ist vor der Küste gesunken.,The ship sank off the coast.,Der Preis ist um 3 % gesunken.,The price has fallen by 3 %.,,,,,,,,,,
sitzen,to sit,"sitzen, sitzt, saß, hat/ist gesessen",Wo möchten Sie sitzen? – Bitte ganz hinten.,"Where would you like to sit? - Right at the back, please.",Die Jacke sitzt sehr gut.,The jacket fits very well.,,,,,,,,,,
sollen,to be supposed to,"sollen, soll, sollte, hat gesollt (hat sollen als Modalverb)",Wann soll ich kommen?,When should I come?,"Ich habe im Radio gehört, es soll morgen regnen.",I heard on the radio that it's supposed to rain tomorrow.,"Sollten Sie mit dem Vorschlag nicht einverstanden sein, rufen Sie mich an.","If you do not agree with the proposal, please call me.",,,,,,,,
sorgen,"to care for, worry","sorgen, sorgt, sorgte, hat gesorgt",Wer sorgt denn für die Kinder?,Who takes care of the children?,"Können Sie bitte dafür sorgen, dass die Heizung funktioniert?",Can you please make sure the heating works?,,,,,,,,,,
sparen,to save,"sparen, spart, sparte, hat gespart","Ein Auto ist mir zu teuer, ich muss sparen.","A car is too expensive for me, I have to save money.","Um Strom zu sparen, schalten wir die Heizung nachts aus.","To save electricity, we switch off the heating at night.",,,,,,,,,,
spazieren gehen,to go for a walk,"spazieren gehen, geht spazieren, ging spazieren, ist spazieren gegangen",Wir gehen sonntags immer spazieren.,We always go for a walk on Sundays.,,,,,,,,,,,,
speichern,to save,"speichern, speichert, speicherte, hat gespeichert",Sie müssen die Datei speichern.,You must save the file.,,,,,,,,,,,,
spielen,to play,"spielen, spielt, spielte, hat gespielt","Wir haben einen großen Garten, da können die Kinder spielen.",We have a large garden where the children can play.,Am Sonntag spielen wir gegen die Fußballmannschaft der Nachbarschule.,On Sunday we play against the soccer team from the neighboring school.,Spielen Sie ein Instrument?,Do you play an instrument?,Spielen Sie Karten?,Do you play cards?,,,,,,
sprechen,to speak,"sprechen, spricht, sprach, hat gesprochen",Können Sie bitte etwas lauter sprechen?,Can you please speak a little louder?,Jean spricht sehr gut Deutsch.,Jean speaks very good German.,Ich möchte nicht darüber sprechen.,I don't want to talk about it.,Die Bundeskanzlerin spricht heute Abend im Fernsehen.,The Federal Chancellor is speaking on television this evening.,Kann ich bitte Herrn Müller sprechen?,"Can I speak to Mr. Müller, please?",,,,
springen,to jump,"springen, springt, sprang, ist gesprungen",Wir waren im Schwimmbad. Mein Sohn ist immer wieder ins Wasser gesprungen.,We went to the swimming pool. My son kept jumping into the water.,"Wie weit bist du heute gesprungen? – 3,40 m.","How far did you jump today? - 3,40 m.",,,,,,,,,,
spülen,"to rinse, flush, wash","spülen, spült, spülte, hat gespült",Hast du das Geschirr gespült?,Did you wash the dishes?,Spülen Sie bitte jetzt den Mund aus.,Please rinse your mouth now.,,,,,,,,,,
spüren,to feel,"spüren, spürt, spürte, hat gespürt",Wo tut es weh? Spüren Sie das hier?,Where does it hurt? Can you feel it here?,,,,,,,,,,,,
stammen,to originate,"stammen, stammt, stammte, hat gestammt",Ich stamme aus einer kleinen Stadt an der Donau.,I come from a small town on the Danube.,,,,,,,,,,,,
starten,to start,"starten, startet, startete, ist gestartet",Das Flugzeug ist pünktlich gestartet.,The plane took off on time.,,,,,,,,,,,,
stattfinden,to take place,"stattfinden, findet statt, fand statt, hat stattgefunden",Das Spiel findet auch bei Regen statt.,The game also takes place in the rain.,,,,,,,,,,,,
staubsaugen,to vacuum,"staubsaugen, staubsaugt, staubsaugte, hat gestaubsaugt",Ich muss heute in meiner Wohnung noch staubsaugen.,I have to vacuum my apartment today.,,,,,,,,,,,,
stechen,"to sting, pierce","stechen, sticht, stach, hat gestochen",Stefan wird beim Zelten immer von den Mücken gestochen.,Stefan is always bitten by mosquitoes when camping.,,,,,,,,,,,,
stecken,"to put, be","stecken, steckt, steckte, hat gesteckt",Wo ist denn mein Pass? Ich hatte ihn doch in die Handtasche gesteckt.,Where's my passport? I put it in my handbag.,Du kannst reingehen. Der Schlüssel steckt.,You can go in. The key is inserted.,Die Zeitung steckt im Briefkasten.,The newspaper is in the letterbox.,,,,,,,,
stehen,to stand,"stehen, steht, stand, hat/ist gestanden",In meinem Beruf muss ich viel stehen.,I have to stand a lot in my job.,"Als wir kamen, stand das Essen schon auf dem Tisch.","When we arrived, the food was already on the table.",Der Bus steht schon an der Haltestelle.,The bus is already at the bus stop.,Was steht heute in der Zeitung?,What's in the newspaper today?,Nach 20 Minuten stand das Spiel 1:1.,"After 20 minutes, the score was 1:1.",Die neue Bluse steht dir gut.,The new blouse looks good on you.,,
stehlen,to steal,"stehlen, stiehlt, stahl, hat gestohlen",Gestern hat mir jemand im Zug meine Uhr gestohlen.,Yesterday someone stole my watch on the train.,,,,,,,,,,,,
steigen,to rise,"steigen, steigt, stieg, ist gestiegen",Die Preise für Milch und Gemüse sind schon wieder gestiegen.,Prices for milk and vegetables have already risen again.,Gegen Abend ist das Fieber wieder gestiegen.,The fever rose again towards the evening.,,,,,,,,,,
stellen,to place,"stellen, stellt, stellte, hat gestellt",Stell das Bier in den Kühlschrank!,Put the beer in the fridge!,Ich hole noch Milch. Stell dich bitte schon mal in die Schlange an der Kasse.,I'm going to get some milk. Please join the queue at the checkout.,Wo kann ich mein Auto hinstellen?,Where can I park my car?,Würden Sie das Radio bitte etwas leiser stellen.,Could you please turn the radio down a little.,Haben Sie einen Moment Zeit? Wir möchten Ihnen ein paar Fragen stellen.,Do you have a moment? We would like to ask you a few questions.,Ich habe den Wecker auf 5 Uhr gestellt.,I set the alarm for 5 o'clock.,,
sterben,to die,"sterben, stirbt, starb, ist gestorben",Mein Kollege kommt heute nicht. Sein Vater ist gestern gestorben.,My colleague isn't coming today. His father died yesterday.,,,,,,,,,,,,
stimmen,"to be right, vote","stimmen, stimmt, stimmte, hat gestimmt",Meine Adresse stimmt nicht mehr.,My address is no longer correct.,Das Wetter in Deutschland könnte besser sein. – Das stimmt.,The weather in Germany could be better. - That's right.,,,,,,,,,,
stinken,to stink,"stinken, stinkt, stank, hat gestunken",Was stinkt denn hier so? – Das ist der Fisch. Er ist nicht mehr frisch.,What's that smell? - It's the fish. It's no longer fresh.,,,,,,,,,,,,
stoppen,to stop,"stoppen, stoppt, stoppte, hat gestoppt","Die Polizei hat mich gestoppt, weil ich bei Rot über die Ampel gefahren bin.",The police stopped me because I ran a red light.,,,,,,,,,,,,
stören,to disturb,"stören, stört, störte, hat gestört",Darf ich Sie einen Augenblick stören?,May I disturb you for a moment?,Du kannst das Radio anlassen. Das stört mich nicht.,You can leave the radio on. That doesn't bother me.,,,,,,,,,,
(sich) stoßen,"to bump into, encounter","(sich) stoßen, stößt, stieß, hat gestoßen",Wie haben Sie sich denn verletzt? – Ich habe mich an der Autotür gestoßen.,How did you injure yourself? - I hit myself on the car door.,,,,,,,,,,,,
streiken,to strike,"streiken, streikt, streikte, hat gestreikt",Die Arbeiter streiken für höhere Löhne.,The workers are striking for higher wages.,,,,,,,,,,,,
(sich) streiten,to argue,"(sich) streiten, streitet, stritt, hat gestritten",Die Kinder streiten sich oft.,The children often argue.,,,,,,,,,,,,
studieren,to study,"studieren, studiert, studierte, hat studiert",Mein Sohn will Medizin studieren.,My son wants to study medicine.,Ich studiere in Mainz.,I study in Mainz.,,,,,,,,,,
stürzen,"to fall, overthrow","stürzen, stürzt, stürzte, ist gestürzt",Ich bin auf der Straße gestürzt und habe mir den Fuß gebrochen.,I fell on the road and broke my foot.,"Bitte pass auf der Treppe auf, dass du nicht hinunterstürzt!",Please be careful not to fall down the stairs!,,,,,,,,,,
suchen,to search,"suchen, sucht, suchte, hat gesucht nach",Ich suche meine Brille.,I'm looking for my glasses.,Wir suchen eine größere Wohnung.,We are looking for a larger apartment.,Wen suchen Sie?,Who are you looking for?,,,,,,,,
tanken,to fuel up,"tanken, tankt, tankte, hat getankt",Wir müssen unbedingt tanken. Wir haben fast kein Benzin mehr.,We absolutely have to fill up. We're almost out of gas.,Bitte einmal volltanken!,Please fill up once!,,,,,,,,,,
tanzen,to dance,"tanzen, tanzt, tanzte, hat getanzt",Auf der Hochzeit haben wir viel getanzt.,We danced a lot at the wedding.,,,,,,,,,,,,
tauchen,to dive,"tauchen, taucht, tauchte, ist/hat getaucht",Ich möchte im Urlaub wieder tauchen gehen.,I would like to go diving again on vacation.,,,,,,,,,,,,
